"Name","DisplayName","FeatureType","Depth","RunTime"
"FileAndStorage-Services","File and Storage Services","Role","1","2023-02-11T20:47:50Z"
"Storage-Services","Storage Services","Role Service","2","2023-02-11T20:47:50Z"
"Web-Server","Web Server (IIS)","Role","1","2023-02-11T20:47:50Z"
"Web-WebServer","Web Server","Role Service","2","2023-02-11T20:47:50Z"
"Web-Common-Http","Common HTTP Features","Role Service","3","2023-02-11T20:47:50Z"
"Web-Default-Doc","Default Document","Role Service","4","2023-02-11T20:47:50Z"
"Web-Dir-Browsing","Directory Browsing","Role Service","4","2023-02-11T20:47:50Z"
"Web-Http-Errors","HTTP Errors","Role Service","4","2023-02-11T20:47:50Z"
"Web-Static-Content","Static Content","Role Service","4","2023-02-11T20:47:50Z"
"Web-Health","Health and Diagnostics","Role Service","3","2023-02-11T20:47:50Z"
"Web-Http-Logging","HTTP Logging","Role Service","4","2023-02-11T20:47:50Z"
"Web-Performance","Performance","Role Service","3","2023-02-11T20:47:50Z"
"Web-Stat-Compression","Static Content Compression","Role Service","4","2023-02-11T20:47:50Z"
"Web-Security","Security","Role Service","3","2023-02-11T20:47:50Z"
"Web-Filtering","Request Filtering","Role Service","4","2023-02-11T20:47:50Z"
"Web-Mgmt-Tools","Management Tools","Role Service","2","2023-02-11T20:47:50Z"
"Web-Mgmt-Console","IIS Management Console","Role Service","3","2023-02-11T20:47:50Z"
"NET-Framework-45-Features",".NET Framework 4.8 Features","Feature","1","2023-02-11T20:47:50Z"
"NET-Framework-45-Core",".NET Framework 4.8","Feature","2","2023-02-11T20:47:50Z"
"NET-WCF-Services45","WCF Services","Feature","2","2023-02-11T20:47:50Z"
"NET-WCF-TCP-PortSharing45","TCP Port Sharing","Feature","3","2023-02-11T20:47:50Z"
"BitLocker","BitLocker Drive Encryption","Feature","1","2023-02-11T20:47:50Z"
"EnhancedStorage","Enhanced Storage","Feature","1","2023-02-11T20:47:50Z"
"Windows-Defender","Microsoft Defender Antivirus","Feature","1","2023-02-11T20:47:50Z"
"System-DataArchiver","System Data Archiver","Feature","1","2023-02-11T20:47:50Z"
"PowerShellRoot","Windows PowerShell","Feature","1","2023-02-11T20:47:50Z"
"PowerShell","Windows PowerShell 5.1","Feature","2","2023-02-11T20:47:50Z"
"WoW64-Support","WoW64 Support","Feature","1","2023-02-11T20:47:50Z"
"XPS-Viewer","XPS Viewer","Feature","1","2023-02-11T20:47:50Z"
