Category,LogName,Expression,WA,Priority,Severity,ID,Description
EventCollection,Directory Service,EventLevelEqual1,WA:, , ,Microsoft.Windows.Server.2016.AD.DirectoryService.Error.EventCollection,
EventCollection,Directory Service,EventLevelEqual2,WA:, , ,Microsoft.Windows.Server.2016.AD.DirectoryService.Warning.EventCollection,
EventCollection,DNS Server,EventLevelEqual1,WA:, , ,Microsoft.Windows.Server.2016.AD.DNSServer.Error.EventCollection,
EventCollection,DNS Server,EventLevelEqual2,WA:, , ,Microsoft.Windows.Server.2016.AD.DNSServer.Warning.EventCollection,
EventCollection,Active Directory Web Services,EventLevelEqual1,WA:, , ,Microsoft.Windows.Server.2016.AD.ActiveDirectoryWebServices.Error.EventCollection,
EventCollection,Active Directory Web Services,EventLevelEqual2,WA:, , ,Microsoft.Windows.Server.2016.AD.ActiveDirectoryWebServices.Warning.EventCollection,
EventCollection,DFS Replication,EventLevelEqual1,WA:, , ,Microsoft.Windows.Server.2016.AD.DFSReplication.Error.EventCollection,
EventCollection,DFS Replication,EventLevelEqual2,WA:, , ,Microsoft.Windows.Server.2016.AD.DFSReplication.Warning.EventCollection,
EventCollection,Application,EventDisplayNumberEqual1001PublisherNameEqualUserEnvUserNameEqualSystem,WA:, , ,A_dll_cannot_be_loaded_because_the_software_was_incorrectly_installed_5_Rule,
EventCollection,System,EventDisplayNumberMatchesMOM2005BooleanRegularExpression^(1089|1090|1091|1092|1093|1095)$PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,A_RSoP__Resultant_Set_of_Policies__error_occurred_5_Rule,
EventCollection,System,EventDisplayNumberEqual1109PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,A_user_from_a_different_forest_logged_onto_this_machine._Group_policy_processing_has_been_effected._5_Rule,
EventCollection,System,EventDisplayNumberEqual16406PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,A_well_known_account_has_been_recreated_because_it_did_not_exist_5_Rule,
EventCollection,System,EventDisplayNumberEqual16407PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,A_well_known_group_has_been_recreated_because_it_did_not_exist_5_Rule,
EventCollection,System,EventDisplayNumberEqual16643PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,Account_creation_will_fail_on_this_domain_controller_until_the_account_identifier_pool_is_obtained_5_Rule,
EventCollection,System,EventDisplayNumberEqual12303PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,Accounts_with_the_same_SID_have_been_detected___one_has_been_deleted_5_Rule,
EventCollection,Operations Manager,EventDisplayNumberMatchesMOM2005RegularExpression^10801$,WA:,1,1,AD_MOM_Agent_Proxy_is_not_enabled,AD MP Topology discovery requires that "Agent Proxy" is enabled for all managed DCs. See Knowledge for details
EventCollection,System,PublisherNameEqualMicrosoft-Windows-Directory-Services-SAMEventDisplayNumberMatchesMOM2005BooleanRegularExpression^(16392|16394)$,WA:, , ,An_account_cannot_be_added_to_the_group_5_Rule,
EventCollection,System,EventDisplayNumberEqual5800PublisherNameEqualNetLogon,WA:, , ,An_account_name_collision_occurred___this_may_result_in_authentication_failures_5_Rule,
EventCollection,System,EventDisplayNumberEqual12299PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,An_attempt_to_check_whether_group_caching_is_enabled_has_failed_5_Rule,
EventCollection,System,EventDisplayNumberEqual34PublisherNameEqualMicrosoft-Windows-Time-Service,WA:, , ,An_attempt_to_set_the_time_was_aborted_due_to_the_offset_being_too_large_5_Rule,
EventCollection,System,EventDisplayNumberEqual12302PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,An_attempt_to_update_user_credentials_failed_5_Rule,
EventCollection,System,EventDisplayNumberEqual10PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,Change_Password_on_KRBTGT_Account_Failed_5_Rule,
EventCollection,System,EventDisplayNumberMatchesMOM2005BooleanRegularExpression^((5784)|(5786))$PublisherNameEqualNetLogon,WA:, , ,Collection_Rule_for_No_DC_GC_in_Site_events_5_Rule,
EventCollection,System,EventDisplayNumberEqual13PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,Corrupt_Credentials_5_Rule,
EventCollection,System,EventDisplayNumberEqual16408PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,Domain_Operation_Mode_has_been_changed_to_Native_Mode_5_Rule,
EventCollection,System,EventDisplayNumberEqual12304PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,Duplicate_account_names_were_detected___one_account_has_been_renamed_5_Rule,
EventCollection,System,EventDisplayNumberEqual11PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-CenterEventData/Params/Param[2]MatchesMOM2005RegularExpression(8)|(DS_USER_PRINCIPAL_NAME),WA:, , ,Duplicate_User_Principal_Names_have_been_detected_5_Rule,
EventCollection,System,EventDisplayNumberEqual1007PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,Group_policy_processing_aborted___cannot_determine_site_5_Rule,
EventCollection,System,EventDisplayNumberEqual15PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,Invalid_Forwarded_AS_Request_5_Rule,
EventCollection,System,EventDisplayNumberEqual17PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,Invalid_Policy_Data_5_Rule,
EventCollection,System,EventDisplayNumberEqual1030PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,Machine_account_policy_failure___Active_Directory_GPO_lookup_failure_5_Rule,
EventCollection,Application,EventLevelEqual1PublisherNameEqualSCECLI,WA:, , ,Machine_account_policy_failure___Security_Configuration_Engine_error_occurred_5_Rule,
EventCollection,System,EventDisplayNumberEqual1002PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,Memory_Allocation_Error___the_system_may_be_overloaded_5_Rule,
EventCollection,System,EventDisplayNumberEqual21PublisherNameEqualMicrosoft-Windows-Time-Service,WA:, , ,No_input_provider_to_sync_time_5_Rule,
EventCollection,System,EventDisplayNumberEqual18PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,PAC_Verification_Failure_5_Rule,
EventCollection,System,EventDisplayNumberEqual5PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,Policy_Update_Failure_5_Rule,
EventCollection,System,EventDisplayNumberEqual16397PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,Setting_the_administrators_password_failed.__It_has_been_reset_to_blank._5_Rule,
EventCollection,System,EventDisplayNumberEqual16641PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,The_account_identifier_pool_for_this_domain_controller_cannot_be_updated_5_Rule,
EventCollection,System,EventDisplayNumberEqual5801PublisherNameEqualNetLogon,WA:, , ,The_computer_name_cannot_be_mapped_to_an_object_in_Active_Directory___this_may_result_in_authentication_failures_5_Rule,
EventCollection,System,EventDisplayNumberEqual16642PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,The_DC_was_unable_to_obtain_the_next_account_identifier_5_Rule,
EventCollection,System,EventDisplayNumberEqual16651PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,The_domain_controller_failed_to_obtain_a_new_account_identifier_pool_5_Rule,
EventCollection,System,EventDisplayNumberEqual12300PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,The_group_caching_option_has_now_been_properly_updated_5_Rule,
EventCollection,System,EventDisplayNumberEqual1097PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,The_machine_account_cannot_be_found_5_Rule,
EventCollection,System,EventDisplayNumberEqual1088PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,The_number_of_Group_Policies_has_exceeded_the_maximum_limit_5_Rule,
EventCollection,System,EventDisplayNumberEqual1096PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,The_registry_policy_file_could_not_be_accessed_during_application_of_machine_policy_5_Rule,
EventCollection,System,EventDisplayNumberEqual36PublisherNameEqualMicrosoft-Windows-Time-Service,WA:, , ,The_system_clock_has_not_been_synchronized_for_some_time_5_Rule,
EventCollection,System,EventDisplayNumberEqual16405PublisherNameEqualMicrosoft-Windows-Directory-Services-SAM,WA:, , ,This_domain_controller_will_not_start_up_because_its_machine_account_has_been_deleted_5_Rule,
EventCollection,System,EventDisplayNumberEqual6PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,Trusted_Domain_List_Update_Failure_5_Rule,
EventCollection,System,EventDisplayNumberEqual7PublisherNameEqualMicrosoft-Windows-Kerberos-Key-Distribution-Center,WA:, , ,Unexpected_SAM_Failure_5_Rule,
EventCollection,System,EventDisplayNumberEqual1052PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,Windows_cannot_determine_the_role_of_this_computer._5_Rule,
EventCollection,System,PublisherNameEqualMicrosoft-Windows-GroupPolicyEventDisplayNumberMatchesMOM2005RegularExpression^(1053|1055)$,WA:, , ,Windows_cannot_determine_the_user_or_computer_name._5_Rule,
EventCollection,System,EventDisplayNumberEqual1054PublisherNameEqualMicrosoft-Windows-GroupPolicy,WA:, , ,Windows_cannot_obtain_the_domain_controller_name_for_your_computer_network._5_Rule,
EventCollection,Application,PublisherNameEqualUserEnvUserNameEqualSystemEventDisplayNumberMatchesMOM2005BooleanRegularExpression^(1016|1017|1018)$,WA:, , ,Windows_is_setting_a_registry_value_5_Rule,
EventCollection,System,PublisherNameEqualDNSAPIEventDisplayNumberMatchesMOM2005BooleanRegularExpression^(11150|11162)$,WA:, , ,A_DNS_server_used_by_this_server_for_name_resolution_did_not_respond_1_Rule,
EventCollection,System,PublisherNameEqualDNSAPIEventDisplayNumberMatchesMOM2005BooleanRegularExpression^(11151|11155|11163|11167)$,WA:, , ,A_resource_record_for_the_computer_name_of_the_DC_is_not_registered_1_Rule,
EventCollection,System,PublisherNameEqualNetlogonEventDisplayNumberMatchesMOM2005BooleanRegularExpression^(5773)$,WA:, , ,One_or_more_of_the_DC_Locator_DNS_records_are_not_registered_1_Rule,
EventCollection,System,PublisherNameEqualDnsapiEventDisplayNumberMatchesMOM2005BooleanRegularExpression^(11152|11153|11164|11165)$,WA:, , ,The_DNS_server_with_which_this_DC_will_register_does_not_support_1_Rule,
EventCollection,System,PublisherNameEqualDnsapiEventDisplayNumberMatchesMOM2005BooleanRegularExpression^(11154|11166)$,WA:, , ,The_computer_didnt_have_sufficient_rights_to_perform_the_secure_dynamic_update_1_Rule,
